#,Ship Name,Abbreviation,Type,Co. Reference,LOA,Beam,Draught,Grt,Net Tonnag,Port Of Registration,Date of Registration,Nationality,Dead Weight,LRN
762,STAR PRIDE,STARPRIDE,FREIGHTER,28813,162.50,26,9.00,14022,6724.00,PANAMA,,PANAMA,12955.00,9517915
763,STAR PRIMA,SPRIM,FREIGHTER,28813,162.50,26,14.00,14030,6720.00,PANAMA,,PANAMA,1318.00,9338747
764,STAR STANDARD,SSTAN,FREIGHTER,28813,162.50,26,9.00,14030,6724.00,SINGAPORE,,SINGAPORE,13201.00,9438509
765,STAR TRUST,STRU,FREIGHTER,28813,162.50,26,9.00,17030,6724.00,SINGAPORE,27/01/2009,SINGAPORE,13189.00,94318511
766,STEEL,STE,MISCELLANEOUS,606427,54.85,9.5,3.20,769,230.00,GEORGETOWN,01/11/2004,,78.00,1009156
767,STEFAN SIBUM,SSIB,FREIGHTER,28813,151.74,23,8.00,10585,5400.00,LIMASSOL,17/10/2008,GERMAN,13172.00,9461594
768,STEMAT 87,STEM,MISCELLANEOUS,20193,66.00,22,3.00,1369,0.00,,,,0.00,
769,STINNES PASSAT,STIN,FREIGHTER,20162,144.87,23.000,9.85,12795,5486.00,SAINT JOHN'S,24/11/2011,,17299.00,9473248
770,STRAMI,STRM,FREIGHTER,507300,88.25,13.210,5.46,2373,1434.00,NASSAU,,BAHAMAS,4245.00,8922254
771,STRANDWAY,STR,DREDGER,20193,92.10,19,6.16,4320,1296.00,LIMASSOL,01/06/2014,CYPRESS,5950.00,9664457
772,STREKKER,STRE,MISCELLANEOUS,20193,35.00,15,0.00,99,0.00,,,,0.00,1128037
773,SUDEROOG,SUD,FREIGHTER,28813,161.35,25,9.00,15633,6717.00,GIBRALTAR,30/04/2005,,16939.00,9256327
774,SUFFOLK SPIRIT,SUF,MISCELLANEOUS,481721,26.00,10,3.00,146,0.00,,,UK,0.00,9676917
775,SUMMER FLOWER,SFLO,FREIGHTER,20195,169.09,24,9.00,12659,6755.00,NASSAU,,BAHAMAS,13584.00,8413019
776,SUMMER WIND,SWIND,FREIGHTER,20195,169.09,24,9.00,12660,6755.00,NASSAU,01/11/1985,BAHAMAS,13636.00,8410574
777,SUNSET 1,SST1,MISCELLANEOUS,20182,51.10,0,5.00,493,148.00,,,UK,0.00,9222314
778,SUSANNE A,SUSA,MISCELLANEOUS,202362,54.00,14.72,,469,,,,,200.00,
779,SUURHUSEN S,SUUR,FREIGHTER,507300,88.77,13.17,5.68,2805,1568.00,SAINT JOHN'S,01/12/2020,ANTIGUA & BARBUDA,4261.00,9123245
